trade_id,internal_ts,direction,pair,strategy,spread_pct,ex1_exchange,ex1_order_id,ex1_type,ex1_side,ex1_qty_ordered,ex1_qty_filled,ex1_price_expected,ex1_price_actual,ex1_value_usdt,ex1_fees,ex1_create_ts,ex1_status,ex2_exchange,ex2_order_id,ex2_type,ex2_side,ex2_qty_ordered,ex2_qty_filled,ex2_price_expected,ex2_price_actual,ex2_value_usdt,ex2_fees,ex2_create_ts,ex2_status,profit_usdt_expected,profit_mpc_expected,profit_usdt_actual,profit_mpc_actual,limit_watch_status,limit_last_check,error_code,error_message,raw_ex1_response,raw_ex2_response,updated_at
20260501_115516_090315,2026-05-01T02:58:57.123456,M->K,MPC-USDT,COINS,4.668,MEXC,C02__678669986075430912119,market,buy,112,112,0.01128,0.01128,1.26336,0.00126,1777629538000,FILLED,KUCOIN,69f3faa9cb009100075fd471,limit,sell,110,0,0.011854,0,0,0,0,PENDING,0.042,1.8,0.0,0.0,WATCHING,,,,"""{\""symbol\"": \""MPCUSDT\"", \""orderId\"": \""C02__678669986075430912119\""}""","""{\""orderId\"": \""69f3faa9cb009100075fd471\""}""",2026-05-01T11:55:16.090343
20260501_115516_090562,2026-05-01T00:56:09.746904,K->M,MPC-USDT,COINS,1.24,KUCOIN,69f3de0c589b960007552c9d,market,buy,150,150,0.011,0.011,1.65,0.00165,1777629600000,FILLED,MEXC,C02__678670004756865024119,limit,sell,148,148,0.01115,0.01115,0,0.00165,0,PENDING,0.022,1.6,0.018,1.5,FILLED,2026-05-01T11:55:16.090748,,,"""{\""orderId\"": \""69f3de0c589b960007552c9d\""}""","""{\""orderId\"": \""C02__678670004756865024119\""}""",2026-05-01T11:55:16.090752
