trade_id;internal_ts;direction;pair;strategy;spread_pct;ex1;ex1_order_id;ex1_type;ex1_side;ex1_qty_ordered;ex1_qty_filled;ex1_price_expected;ex1_price_actual;ex1_value_usdt;ex1_fees;ex1_create_ts;ex1_status;ex2;ex2_order_id;ex2_type;ex2_side;ex2_qty_ordered;ex2_qty_filled;ex2_price_expected;ex2_price_actual;ex2_value_usdt;ex2_fees;ex2_create_ts;ex2_status;profit_usdt_expected;profit_mpc_expected;profit_usdt_actual;profit_mpc_actual;limit_watch_status;limit_last_check;error_code;error_message;raw_ex1_response;raw_ex2_response;raw_ex2_response_ts
1b1611d4e_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a17514967c9710007139cef;limit;sell;58;58.0;0,018163;0.018163;0;0.003160362;;PARTIAL;0,0485488;-0,28;;-0,28;FILLED;2026-05-27T22:17:19.615854;;;;"{""orderId"": ""6a17514967c9710007139cef""}";2026-05-27T22:17:13.783106
1b1611d4e_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a17514967c9710007139cef;limit;sell;;58.0;;0.018163;0;0.003160362;0;FILLED;;;;;FILLED;2026-05-27T22:17:19.611703;;;;;
1b1611d4e;2026-05-27T22:17:11.640815;MXC->KCN;MPC-USDT;USDT;4,325100517;MXC;C02__688414456513777664119;market;buy;137;57,72;0,01741;0,01741;1,0049052;0;27.05.2026 22:17;PARTIAL;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688414456513777664119"", ""quantity"": ""57.72"", ""amount"": ""1.0049052"", ""fees"": 0.0, ""price"": ""0.017410000000000002"", ""executedQty"": ""57.72"", ""cummulativeQuoteQty"": ""1.0049052"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 57.72, ""price_actual"": 0.01741, ""value_usdt"": 1.0049052, ""fees"": 0.0, ""create_ts"": 1779913032000}]}";;
1b16121b13_ex1p1;;;;;;;;;;;183;;0,01755;3,21165;0;2026-05-27 22:18:26.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b16121b13_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a1751931296f100074bae96;limit;sell;183;183.0;0,018148;0.018148;0;0.009963252;;PARTIAL;0,109434;0;;0;FILLED;2026-05-27T22:18:36.731913;;;;"{""orderId"": ""6a1751931296f100074bae96""}";2026-05-27T22:18:27.193345
1b16121b13_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a1751931296f100074bae96;limit;sell;;183.0;;0.018148;0;0.009963252;0;FILLED;;;;;FILLED;2026-05-27T22:18:36.724213;;;;;
1b16121b13;2026-05-27T22:18:25.082011;MXC->KCN;MPC-USDT;USDT;3,407407407;MXC;C02__688414764631461888119;market;buy;183;183;0,01755;0,01755;3,21165;0;27.05.2026 22:18;FILLED;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688414764631461888119"", ""quantity"": ""183.0"", ""amount"": ""3.21165"", ""fees"": 0.0, ""price"": ""0.01755"", ""executedQty"": ""183.0"", ""cummulativeQuoteQty"": ""3.21165"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 183.0, ""price_actual"": 0.01755, ""value_usdt"": 3.21165, ""fees"": 0.0, ""create_ts"": 1779913106000}]}";;
1b1612202e_ex1p1;;;;;;;;;;;144;;0,0174;2,5056;0;2026-05-27 22:18:31.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b1612202e_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a175198f7247100073a7423;limit;sell;144;144.0;0,018148;0.018148;0;0.007839936;;PARTIAL;0,107712;0;;0;FILLED;2026-05-27T22:18:36.097546;;;;"{""orderId"": ""6a175198f7247100073a7423""}";2026-05-27T22:18:32.462444
1b1612202e_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a175198f7247100073a7423;limit;sell;;144.0;;0.018148;0;0.007839936;0;FILLED;;;;;FILLED;2026-05-27T22:18:36.092601;;;;;
1b1612202e;2026-05-27T22:18:30.188862;MXC->KCN;MPC-USDT;USDT;4,298850575;MXC;C02__688414786253148160119;market;buy;144;144;0,0174;0,0174;2,5056;0;2026-05-27 22:18:31.036;FILLED;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688414786253148160119"", ""quantity"": ""144.0"", ""amount"": ""2.5056"", ""fees"": 0.0, ""price"": ""0.0174"", ""executedQty"": ""144.0"", ""cummulativeQuoteQty"": ""2.5056"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 144.0, ""price_actual"": 0.0174, ""value_usdt"": 2.5056, ""fees"": 0.0, ""create_ts"": 1779913111000}]}";;
1b16122f50_ex1p1;;;;;;;;;;;30,95;;0,01799;0,5567905;0;2026-05-27 22:18:46.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b16122f50_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a1751c530aa00000711dc0d;limit;sell;31;31,0;0,018142;0,018941;0,587171;0,001761513;;FILLED;0,008755167;-0,05;;;FILLED;2026-05-27T22:18:47.810717;;;;"{""orderId"": ""6a1751a76950e40007d52a0a""}";2026-05-27T22:18:47.808003
1b16122f50_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a1751a76950e40007d52a0a;limit;sell;;0;;0;0;0;0;CANCELLED;;;;;CANCELLED;2026-05-27T22:18:47.813891;;;;;
