trade_id;internal_ts;direction;pair;strategy;spread_pct;ex1;ex1_order_id;ex1_type;ex1_side;ex1_qty_ordered;ex1_qty_filled;ex1_price_expected;ex1_price_actual;ex1_value_usdt;ex1_fees;ex1_create_ts;ex1_status;ex2;ex2_order_id;ex2_type;ex2_side;ex2_qty_ordered;ex2_qty_filled;ex2_price_expected;ex2_price_actual;ex2_value_usdt;ex2_fees;ex2_create_ts;ex2_status;profit_usdt_expected;profit_mpc_expected;profit_usdt_actual;profit_mpc_actual;limit_watch_status;limit_last_check;error_code;error_message;raw_ex1_response;raw_ex2_response;raw_ex2_response_ts
1b1611d4e;2026-05-27T22:17:11.640815;MXC->KCN;MPC-USDT;USDT;4,325100517;MXC;C02__688414456513777664119;market;buy;137;137;0,01741;0,01741;1,0049052;0;27.05.2026 22:17;FILLED;KCN;6a17514967c9710007139cef;limit;sell;58;58;0,018163;0,018163;1,053454;0,003160362;2026-05-27T22:17:13.783106;FILLED;0,0485488;79;0;79;FILLED;2026-05-27T22:17:19.615854;;;
1b1611d4e_ex1p1;2026-05-27T22:17:11.640815;MXC->KCN;MPC-USDT;USDT;4,325100517;MXC;C02__688414456513777664119;market;buy;137;79,28;0,01741;0,0173;1,371544;0,000686;2026-05-27T22:17:12.000;FILLED;KCN;6a17514967c9710007139cef;limit;sell;58;;0,018163;;;;;2026-05-27T22:17:12.000;FILLED;KCN
1b1611d4e_ex1p2;2026-05-27T22:17:11.640815;MXC->KCN;MPC-USDT;USDT;4,325100517;MXC;C02__688414456513777664119;market;buy;137;57,72;0,01741;0,01741;1,004905;0,000502;2026-05-27T22:17:12.000;FILLED;KCN;6a17514967c9710007139cef;limit;sell;58;;0,018163;;;;;2026-05-27T22:17:12.000;FILLED;KCN
1b1611d4e_ex2sum;2026-05-27T22:17:11.640815;MXC->KCN;MPC-USDT;USDT;4,325100517;MXC;C02__688414456513777664119;market;buy;137;137;0,01741;0,01741;1,0049052;0;27.05.2026 22:17;FILLED;KCN;6a17514967c9710007139cef;limit;sell;58;58;0,018163;0,018163;1,053454;0,003160362;2026-05-27T22:17:13.783106;FILLED;0,0485488;79;0;79;FILLED;2026-05-27T22:17:19.615854;;;
1b1611d4e_ex2p1;2026-05-27T22:17:11.640815;MXC->KCN;MPC-USDT;USDT;4,325100517;MXC;C02__688414456513777664119;market;buy;137;58;0,01741;0,018163;1,053454;0,00316;2026-05-27T22:17:13.000;FILLED;KCN;6a17514967c9710007139cef;limit;sell;58;58;0,018163;0,018163;1,053454;0,00316;2026-05-27T22:17:13.000;FILLED;;;;
