trade_id;internal_ts;direction;pair;strategy;spread_pct;ex1;ex1_order_id;ex1_type;ex1_side;ex1_qty_ordered;ex1_qty_filled;ex1_price_expected;ex1_price_actual;ex1_value_usdt;ex1_fees;ex1_create_ts;ex1_status;ex2;ex2_order_id;ex2_type;ex2_side;ex2_qty_ordered;ex2_qty_filled;ex2_price_expected;ex2_price_actual;ex2_value_usdt;ex2_fees;ex2_create_ts;ex2_status;profit_usdt_expected;profit_mpc_expected;profit_usdt_actual;profit_mpc_actual;limit_watch_status;limit_last_check;error_code;error_message;raw_ex1_response;raw_ex2_response;raw_ex2_response_ts
1cb361254;2026-05-28T11:54:16.740708;MXC->KCN;MPC-USDT;USDT;1,16374269;MXC;C02__688620082586062848119;market;buy;578;578;0,0171;0,0171;8,494596;0;28.05.2026 11:54;FILLED;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688620082586062848119"", ""quantity"": ""496.76"", ""amount"": ""8.494596"", ""fees"": 0.0, ""price"": ""0.0171"", ""executedQty"": ""496.76"", ""cummulativeQuoteQty"": ""8.494596"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 496.76, ""price_actual"": 0.0171, ""value_usdt"": 8.494596, ""fees"": 0.0, ""create_ts"": 1779962058000}]}";;
1cb361254_ex1p1;;;;;;;;;;;81,24;;0,01706;1,385954;0,000693;2026-05-28 11:54:18.000;FILLED;KCN;;;;;;;;;;;;;;;;;;;;;;
1cb361254_ex1p2;;;;;;;;;;;496,76;;0,0171;8,494596;0,004247;2026-05-28 11:54:18.000;FILLED;KCN;;;;;;;;;;;;;;;;;;;;;;
1cb361254_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a1810cae1d8f800075b948e;limit;sell;497;497;0,017299;0,0173;0;0;;PARTIAL;0,103007;81;;81;FILLED;2026-05-28T11:54:22.214680;;;;"{""orderId"": ""6a1810cae1d8f800075b948e""}";2026-05-28T11:54:18.845878
1cb361254_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a1810cae1d8f800075b948e;limit;sell;;497;;0,0173;0;8,5981;0,025794;2026-05-28 11:54:18.000;FILLED;;;;FILLED;FILLED;;;;;
1cb36224e;2026-05-28T11:54:32.428769;MXC->KCN;MPC-USDT;USDT;1,18128655;MXC;C02__688620148457660416119;market;buy;117;117;0,0171;0,01709;1,99953;0;28.05.2026 11:54;FILLED;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688620148457660416119"", ""quantity"": ""117.0"", ""amount"": ""1.99953"", ""fees"": 0.0, ""price"": ""0.01709"", ""executedQty"": ""117.0"", ""cummulativeQuoteQty"": ""1.99953"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 117.0, ""price_actual"": 0.01709, ""value_usdt"": 1.99953, ""fees"": 0.0, ""create_ts"": 1779962073000}]}";;
1cb36224e_ex1p1;;;;;;;;;;;117;;0,01709;1,99953;0,001;2026-05-28 11:54:33.000;FILLED;KCN;;;;;;;;;;;;;;;;;;;;;;
1cb36224e_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a1810da4afdd0000792a8d7;limit;sell;117;117;0,017302;0,017305;0;0,006074055;;PARTIAL;0,024804;;;;FILLED;2026-05-28T11:54:44.472329;;;;"{""orderId"": ""6a1810da4afdd0000792a8d7""}";2026-05-28T11:54:34.785020
1cb36224e_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a1810da4afdd0000792a8d7;limit;sell;;117;;0,017305;0;2,024685;0,006074;2026-05-28 11:54:34.000;FILLED;;;;FILLED;FILLED;;;;;
1cb362818;2026-05-28T11:54:37.920653;MXC->KCN;MPC-USDT;USDT;1,210526316;MXC;C02__688620171375337472119;market;buy;117;117;0,0171;0,0171;2,0007;0;28.05.2026 11:54;FILLED;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688620171375337472119"", ""quantity"": ""117.0"", ""amount"": ""2.0007"", ""fees"": 0.0, ""price"": ""0.0171"", ""executedQty"": ""117.0"", ""cummulativeQuoteQty"": ""2.0007"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 117.0, ""price_actual"": 0.0171, ""value_usdt"": 2.0007, ""fees"": 0.0, ""create_ts"": 1779962079000}]}";;
1cb362818_ex1p1;;;;;;;;;;;117;;0,0171;2,0007;0,001;2026-05-28 11:54:39.000;FILLED;KCN;;;;;;;;;;;;;;;;;;;;;;
1cb362818_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a1810e0f103be0007d34ea6;limit;sell;117;117;0,017307;0,017307;0;0,006074757;;PARTIAL;0,024219;;;;FILLED;2026-05-28T11:54:43.830703;;;;"{""orderId"": ""6a1810e0f103be0007d34ea6""}";2026-05-28T11:54:40.244694
1cb362818_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a1810e0f103be0007d34ea6;limit;sell;;117;;0,017307;0;2,024919;0,006075;2026-05-28 11:54:40.000;FILLED;;;;FILLED;FILLED;;;;;
1cb37048;2026-05-28T11:54:58.581831;MXC->KCN;MPC-USDT;USDT;1;MXC;C02__688620258105106433119;market;buy;117;117;0,0171;0,0171;2,0007;0;28.05.2026 11:54;FILLED;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688620258105106433119"", ""quantity"": ""117.0"", ""amount"": ""2.0007"", ""fees"": 0.0, ""price"": ""0.0171"", ""executedQty"": ""117.0"", ""cummulativeQuoteQty"": ""2.0007"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 117.0, ""price_actual"": 0.0171, ""value_usdt"": 2.0007, ""fees"": 0.0, ""create_ts"": 1779962099000}]}";;
1cb37048_ex1p1;;;;;;;;;;;117;;0,0171;2,0007;0,001;2026-05-28 11:54:59.000;FILLED;KCN;;;;;;;;;;;;;;;;;;;;;;
1cb37048_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a1810f442a70a00071b70c5;limit;sell;117;117;0,017271;0,017271;0;0,006062121;;PARTIAL;0,020007;;;;FILLED;2026-05-28T11:55:04.597192;;;;"{""orderId"": ""6a1810f442a70a00071b70c5""}";2026-05-28T11:55:00.727983
1cb37048_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a1810f442a70a00071b70c5;limit;sell;;117;;0,017271;0;2,020707;0,006062;2026-05-28 11:55:00.000;FILLED;;;;FILLED;FILLED;;;;;
